file,write_type,statement,writes,uses_app_config,recommendation
"tools/sdcard_imager/SDCardImager.py","log file","LOG_FILE_PATH = os.path.join(os.path.dirname(os.path.abspath(__file__)), 'sd_card_imager_error.log')","\"with open(LOG_FILE_PATH, 'a') as log_f: log_f.write(...)\"; \"initialization writes\"",false,"Read LOG_FILE_PATH from config/env; avoid writing logs into repo tree."
"doc_processor/routes/admin.py","cache dir / log path","cache_dir = '/tmp/analysis_cache'; log_file = '/path/to/app.log'","shutil.rmtree(cache_dir); os.makedirs(cache_dir; open(log_file,'r'))",false,"Use app_config.LOG_FILE_PATH and a configurable cache dir or tempfile.gettempdir()."
"doc_processor/services/export_service.py","export files (placeholders)","pdf_path = f'/tmp/export/batch_{batch_id}_doc_{i+1}.pdf' and export_dir = '/tmp/exports'","pdf_path/image_path placeholders used as created file paths",false,"Use app_config.EXPORT_DIR or parameterize export dir and create if missing."
"doc_processor/app_original_backup.py","cache file","cache_file = '/tmp/intake_analysis_cache.pkl'","open(cache_file,'rb'/'wb') and tarfile operations",false,"Prefer tempfile.gettempdir() or configurable BACKUP/CACHE_DIR from app_config."
"doc_processor/routes/batch.py","cache file","cache_file = '/tmp/intake_analysis_cache.pkl'","open(cache_file, 'rb')",false,"Use tempfile or app_config for caches."
"doc_processor/routes/export.py","export/processed placeholders","export_dir = '/tmp/exports'; processed_dir = '/tmp/processed'","Image.save(converted_pdf_path, 'PDF', ...) (saves to converted path)",false,"Replace with app_config.EXPORT_DIR and app_config.PROCESSED_DIR or pass dirs as params."
"doc_processor/dev_tools/reset_environment.py","categories backup file","CATEGORIES_BACKUP_FILE = 'custom_categories_backup.json'","with open(CATEGORIES_BACKUP_FILE, 'w') as f: json.dump(...)",false,"Allow backup path via env or app_config.BACKUP_DIR."
"archive/legacy/Document_Scanner_Ollama_outdated/document_processor_gem.py","legacy outputs/ocr/md","os.path.join(destination_dir, f'{new_name_base}.pdf')","shutil.copy2(source_pdf_path, original_copy_path); ocr_doc_obj.save(ocr_copy_path); open(markdown_path,'w')",false,"Migrate legacy scripts to doc_processor/config_manager or mark archival."
"doc_processor/app_monolithic_backup.py","cache file","cache_file = '/tmp/intake_analysis_cache.pkl'","open(cache_file,'rb'/'wb')",false,"Use tempfile or config for cache path."
"scripts/run_local_e2e.sh","pid file","echo $! > /tmp/run_local_e2e_app.pid","write pid file to /tmp",false,"Document or make PID path configurable if needed."
"doc_processor/dev_tools/recover_source_images.py","copy to filing cabinet or fallback","shutil.copy2(src, dest) where dest defaults to filing cabinet category dir","shutil.copy2(src, dest)",true,"Patched: now falls back to RECOVER_SOURCE_BASE env or tempfile.gettempdir() if filing cabinet not writable."
"doc_processor/dev_tools/cleanup_orphaned_wip.py","backup directory / remove","shutil.copytree(batch_wip_dir, backup_batch_dir); shutil.rmtree(batch_wip_dir)","shutil.copytree(...); shutil.rmtree(...); os.makedirs(backup_dir)",true,"Patched: backups now go to WIP_CLEANUP_BACKUP_BASE env or tempfile.gettempdir()."
"doc_processor/dev_tools/restore_categories.py","read backup JSON and DB inserts","with open(CATEGORIES_BACKUP_FILE, 'r') as f: json.load(f)","open(CATEGORIES_BACKUP_FILE, 'r')",false,"Patched: CATEGORIES_BACKUP_FILE now read from CATEGORIES_BACKUP_DIR env or tempfile.gettempdir()."
"doc_processor/dev_tools/recover_batch_tags.py","markdown regen + optional DB updates","with open(path, 'w', encoding='utf-8') as f: f.write(markdown_content)","open(path, 'w')",true,"Regenerate_markdown falls back to FILING_CABINET_DIR env or tempfile.gettempdir() when filing_base missing. Also fixed get_pixmap/getPixmap compatibility."
"doc_processor/dev_tools/fetch_pdfjs.py","static asset download","static_dir = ...; dest.write_bytes(data)","Path.write_bytes(...)",false,"Supports PDFJS_DEST env override to write assets to an alternate location (helpful for CI)."
"doc_processor/processing.py","document processing outputs (processed, searchable, originals, archive)","shutil.copy2(..., dest); open(markdown_path, 'w'); os.makedirs(...); shutil.rmtree(batch_dir)","shutil.copy2(src, dest); open(markdown_path,'w'); os.makedirs(...); shutil.rmtree(...)",true,"Ensure all output directories are derived from app_config or injected paths; validate before writing."
